Question,Answer
What should I do during an earthquake?,"Drop, Cover, and Hold On. Stay indoors until shaking stops. Avoid elevators and glass windows."
How can I prepare for floods?,"Keep emergency kits ready, store important documents in waterproof containers, and follow local evacuation orders."
What is the emergency number in India?,The national emergency helpline number in India is 112.
What should be included in a disaster emergency kit?,"Water, non-perishable food, flashlight, batteries, first-aid kit, medicines, important documents, and phone charger."
What precautions should be taken during a heatwave?,"Stay hydrated, avoid outdoor activities during peak hours, wear light clothing, and check on vulnerable individuals."
What should you do if a tsunami warning is issued?,"Move immediately to higher ground, stay away from the coastline, and follow official government advisories."
How to respond to an industrial chemical accident?,"Move away from the affected area, cover nose and mouth with a cloth, and follow official evacuation instructions."
What should farmers do during drought conditions?,"Adopt water conservation techniques, use drought-resistant crops, and follow government advisories."
How can communities reduce cyclone risk?,"Strengthen infrastructure, secure loose objects, prepare evacuation plans, and monitor weather updates."
What are Standard Operating Procedures (SOPs) in disaster management?,SOPs are predefined step-by-step instructions that guide response teams during emergencies to ensure coordinated action.
